time,slice,seconds,x,y,dist_pix,dist_m,v
340,5,2400,1788,1260,0,0,
420,9,4800,1717.5,1241.5,72.88689869,6282.850667,2.617854444
500,13,7200,1655.5,1225.5,64.03124237,5519.493093,2.299788789
620,21,12000,1531.5,1197.5,65.51335742,5647.251409,2.353021421
700,25,14400,1487.5,1187.5,45.12205669,3889.521287,1.620633869
720,27,15600,1457.5,1183.5,30.2654919,2608.885402,2.174071168
750,30,17400,1415.5,1173.5,43.17406629,3721.604514,2.067558063
