time,velocity,std_dev
NaT,0,0
04-Jul-2020 03:50:00,1.38715561661845,0.79781634488313
04-Jul-2020 04:40:00,1.7622500222741,0.201087109778445
04-Jul-2020 05:30:00,1.6446362778524,0.479579487444292
04-Jul-2020 06:00:00,2.02879398288817,0.304306184449982
04-Jul-2020 06:50:00,1.52174066639452,0.276349923450789
04-Jul-2020 07:30:00,1.89923129264126,0.812093383085794
NaT,0,0
06-Jul-2020 03:40:00,3.14923287644699,1.79983053387546
06-Jul-2020 04:00:00,1.63833590788598,0.26349243843222
06-Jul-2020 04:20:00,1.6360737778888,1.27955927863513
06-Jul-2020 04:40:00,3.1927646292607,1.04629595547665
06-Jul-2020 05:00:00,2.5256782446738,1.63530579670029
06-Jul-2020 05:20:00,1.09344832707848,0.8490677695973
06-Jul-2020 05:40:00,1.92866638938507,1.04573236037061
06-Jul-2020 06:00:00,2.0936997959128,0.489184307733898
06-Jul-2020 06:20:00,1.58025886506994,0.913465438057701
06-Jul-2020 06:40:00,1.92270356384577,0.569515396426114
06-Jul-2020 07:00:00,0.972278107759462,0.423704581091828
06-Jul-2020 07:20:00,0.916004723467403,0.46028061176198
06-Jul-2020 07:40:00,2.422445617651,0.262479323858266
NaT,0,0
11-Jul-2020 04:40:00,1.91130144191085,0.436131205828951
11-Jul-2020 05:10:00,2.15141241840215,0.475164444223673
11-Jul-2020 05:40:00,1.48236162772097,0.382659032518836
11-Jul-2020 06:10:00,2.26517936047097,0.442969446306223
11-Jul-2020 06:40:00,1.54972534238095,0.503520519569718
11-Jul-2020 07:10:00,2.59694227147835,0.632115582307137
11-Jul-2020 07:40:00,1.66408686580162,0.552446868336619
11-Jul-2020 08:10:00,1.94934856761363,0.507408873219807
11-Jul-2020 08:20:00,2.91601741971853,1.36663046167416
NaT,0,0
13-Jul-2020 04:40:00,2.3372484235674,0.44514730316156
13-Jul-2020 05:10:00,2.4357478189859,0.442154199485012
13-Jul-2020 06:30:00,2.41884241882239,0.579832303125451
13-Jul-2020 07:10:00,1.95513131614446,0.428533869532225
13-Jul-2020 08:10:00,2.23607268668792,0.170965330161163
