time,seconds,dist_cm,dist_m,cum_dist,v
3:00,0,0,0,0,
3:50,3000,0.4,7142.8,7142.8,2.380933333
4:40,6000,0.7,12499.9,19642.7,1.7857
5:30,9000,1,17857,37499.7,1.7857
6:00,10800,1.2,21428.4,58928.1,1.984111111
6:50,13800,1.5,26785.5,85713.6,1.7857
7:30,16200,1.7,30356.9,116070.5,1.488083333
