time,slice,seconds,x,y,dist_pix,dist_m,v
410,8,4200,1938,1254,0,0,
440,11,6000,1891.5,1245.5,47.2704982,4074.716945,2.263731636
510,14,7800,1831.5,1231.5,61.6116872,5310.927437,2.950515243
630,22,12600,1693.5,1203.5,79.62411695,6863.598881,2.859832867
710,26,15000,1615.5,1187.5,79.62411695,6863.598881,2.859832867
810,32,18600,1523.5,1167.5,32.24903099,2779.866472,2.316555393
