datetime,average_velocity,median_velocity,velocity_std_dev,average_back_azimuth,median_back_azimuth,back_azimuth_std_dev,max_ba,min_ba
26-Apr-2020,1.96575941436018,1.9861350952368,0.295291190838905,106.271697633365,106.11541383683,2.08097662695544,110.054280643465,103.162496643518
05-May-2020,2.10631238454949,1.95047434985156,0.773203128746373,94.8013685346682,95.636027076672,3.44425402128153,97.6835379050797,90.2498820802491
06-May-2020,2.07013249295804,2.04770778231879,0.434997459505938,94.5266763203697,94.7315849392438,0.887864183609228,95.5671132268943,92.7827652510175
07-May-2020,2.17320374753103,2.12249077055333,0.374038745621575,94.4574187754683,94.3964242881796,0.537967948818425,95.1709070055375,93.8659195199764
08-May-2020,2.30963800084096,2.15494165423044,0.987994188774354,98.3662075117699,98.5971094455301,1.35154778369363,100.465010279629,96.146623463102
09-May-2020,1.828066259964,1.60780181686976,0.852220964045034,104.983599147617,106.4374239383,4.02691315986004,110.244237371711,98.4983383628446
10-May-2020,1.83517430651487,1.81788435009732,0.581337330118165,103.068031944325,103.022016160239,1.76378283665441,106.383645124204,100.092217648559
12-May-2020,1.98815402539432,1.77587390023884,0.777241771085368,100.808755199896,100.831163254293,1.8198425417323,103.77029995188,97.636914592913
26-May-2020,1.81633616050536,1.96510891844567,0.579173486458602,97.5661696262046,97.5661696262046,2.00725390635527,98.9855124749516,96.1468267774576
27-May-2020,2.01679319539435,2.02144672555779,0.577995772415055,97.3062914960015,96.6707764182325,1.41359646053082,99.6724795500894,95.6505769006721
29-May-2020,1.7741400749561,1.72406598264932,0.594837025206295,92.7296303838451,92.1074750222295,3.85241042124272,98.2074709091831,87.5839966299185
01-Jun-2020,1.62832274845408,1.5612815026971,0.571631446005502,99.4975491880224,99.5212915073108,2.45883572044261,102.536365990957,96.1375319630213
02-Jun-2020,1.58231696963915,1.35058182373085,0.597105943627817,98.7326589210811,98.4526289153205,1.29789563587508,101.86526242314,97.1760749336339
03-Jun-2020,1.72817396840739,1.66193078944138,0.593163450130423,96.269288519293,96.2936925774203,1.37404742733185,99.1506490062753,93.0160102407703
04-Jun-2020,1.83614442053993,1.82893602458423,0.700866130734564,96.9289358749504,97.4808608066434,2.60254221467727,100.62960079281,91.7016571390285
05-Jun-2020,1.98158763805614,1.77103740732764,1.06100696542281,97.7677326904885,97.3333532627524,2.61357337991232,103.058297745593,94.4695667358293
10-Jun-2020,2.05208920200939,1.89156432671042,0.89876246466288,100.654837892815,100.056328366954,3.34790475267995,104.751031432496,97.7556634048552
11-Jun-2020,1.66402325270204,1.63666712186074,0.506475130939098,101.539738080387,101.183705346111,0.817158156116109,102.90852347075,100.851008555969
15-Jun-2020,1.64173229535666,1.72649060873603,0.55378766578009,102.97039018895,102.725093558115,0.700023210498074,103.760050248951,102.426026759785
16-Jun-2020,1.60169883889439,1.50893147766738,0.504732593762112,104.294825153469,103.837447392086,1.88410184857671,108.846635148221,102.927394389472
17-Jun-2020,1.68258118483933,1.98936098320523,0.709889651012562,100.600385867806,100.78550309136,0.690029868463153,101.605931065961,99.6402571016824
18-Jun-2020,1.76525747375484,1.75022516688834,0.64120737771357,95.3241309753578,95.4144523696328,2.57406518047257,100.039438762965,91.961220755212
19-Jun-2020,1.79807378293769,1.76425785557297,0.498766865699402,102.787369271052,102.998710606442,2.34683197313037,106.765993354463,97.7393369208471
20-Jun-2020,1.64732600121453,1.61103682244711,0.518539840522618,104.570515466804,104.046486958272,2.00070767645127,108.404385423998,101.794587994233
21-Jun-2020,1.8035016768846,1.7952238146733,0.674519536958269,103.844635843897,104.547099399636,2.09662528833139,106.750446538865,100.358868806883
22-Jun-2020,1.75482083757626,1.71149924952998,0.470727100597648,106.427293802191,106.700175289717,3.01938225494762,111.428240520274,102.901014948306
24-Jun-2020,1.62082581633054,1.57866202008035,0.50001062450313,104.400809092376,103.78353110615,1.86507101658522,107.705361378426,103.251450546935
25-Jun-2020,1.59195013561331,1.77191187720598,0.548524145148923,105.035078528258,104.766627759129,2.03202082107099,108.529787159626,101.437762568489
27-Jun-2020,1.90924091472028,1.98607018834279,0.486526633871079,99.4658870746778,98.998149319263,2.0097930767266,105.227882677791,96.6889143916698
28-Jun-2020,1.97772991305335,1.80974784479391,0.773538527872656,100.023991319076,100.185588479688,1.18160208540326,101.443195542992,98.0408792940209
04-Jul-2020,1.8132998861235,1.84234869762198,0.665573687852509,98.475575782285,98.999712765501,3.46210439240852,105.051900798214,93.0223024034212
05-Jul-2020,1.7733545081962,1.7242425724087,0.525182437806179,103.496153210528,104.437990725267,3.46601069657305,107.531964332997,96.1361017769797
06-Jul-2020,2.54348033066643,2.07417091833354,1.18531806409489,106.779347004428,106.953303617838,1.26711036680896,108.472736281303,104.339395380546
11-Jul-2020,2.73839469160236,2.38965925582852,1.36358169182681,106.520464375617,106.562482586462,1.41355301711513,110.656206180922,103.909785045221
12-Jul-2020,2.09801930705478,1.99084510893773,0.535507683796718,102.581285509882,102.689110224723,1.14385172927629,104.260294907507,99.8386195007245
13-Jul-2020,2.12529115534111,1.97979061117613,0.64942881011465,102.988448723359,102.97802319741,2.01627565565836,106.224369327968,98.4216881256444
16-Jul-2020,1.53661649185821,1.45557852233461,0.401509254898157,99.5243234200575,100.166806334113,2.53221022345167,102.819185678056,95.0832642434349
17-Jul-2020,1.48821007611962,1.38688095868818,0.509747383337019,99.1391045710046,98.2079174149772,2.0416621633165,102.484057896639,97.3069510973395
19-Jul-2020,1.67224676479436,1.72516985178322,0.57792978861004,103.656194608337,103.656194608337,2.52386540761964,105.440836952867,101.871552263807
23-Jul-2020,1.66746753334496,1.66746753334496,0,106.055735401123,106.055735401123,0,106.055735401123,106.055735401123
24-Jul-2020,1.87072867694002,1.71432533372287,0.489636964106151,106.815273885101,106.31929871846,1.26408073209749,109.292279321495,105.378457901707
27-Jul-2020,2.02406068753901,1.93927486436115,0.566516526523969,100.912726240464,100.741549987736,1.48982637057209,104.968399474883,99.1678498758924
07-Aug-2020,1.73315403523965,1.98222671343235,0.60054125813921,102.530767568658,102.567453671351,1.10300501957386,103.553241339597,100.762457605522
08-Aug-2020,1.8999344820299,1.84929102143499,0.293435342005884,99.7687056270026,99.6455123048202,0.848100840746572,100.636918539352,98.7057482064508
09-Aug-2020,2.23285111278045,2.1161807565612,0.36486782284068,98.5970767211211,98.6342438999406,0.975348374614597,100.116099558139,97.4818964025174
22-Aug-2020,1.62776112921109,1.75714881619585,0.542065557099604,102.843008422057,102.843008422057,3.22946473963676,105.126584839057,100.559432005057
01-Sep-2020,1.62195908527182,1.5984674637894,0.430592864948391,100.727016997646,100.907900064966,1.5380302319668,103.327834285289,98.6873746384672
03-Sep-2020,1.78206879383439,1.70808410818106,0.479217041407719,104.972751790325,104.797950212961,1.10233151836921,106.816732461041,103.228109911307
06-Sep-2020,2.08115383712983,2.15459558263292,0.659912848448387,108.591533269045,108.710637907879,2.69934815227648,112.391410991062,104.474081384502
