Detection,DetectionTime,Type,TemplateHDH,DetectionTimeHDH,CCHDH,SNRHDH,TemplateHHZ,DetectionTimeHHZ,CCHHZ,SNRHHZ,crests,crest_time,troughs,trough_time,template,period,amps
NaN,03-Dec-2020 14:48:00,Unknown,11-May-0020 06:53:00,03-Dec-0020 14:48:00,0.907711334,3.617291333,NaT,NaT,NaN,NaN,118.728959211611,3-Dec-2020 15:01:42,-61.4579299989517,3-Dec-2020 14:52:06,11-May-0020 06:53:00,00:09:36,180.186889210562
NaN,04-Dec-2020 12:57:00,Unknown,10-May-0020 18:44:00,04-Dec-0020 12:57:00,0.902665302,5.881177562,NaT,NaT,NaN,NaN,392.391028874589,4-Dec-2020 13:20:05,-150.659009823677,4-Dec-2020 13:12:20,10-May-0020 18:44:00,00:07:45,543.050038698266
NaN,04-Dec-2020 14:57:00,Unknown,08-May-0020 04:53:00,04-Dec-0020 14:57:00,0.87644688,3.373012483,NaT,NaT,NaN,NaN,144.059788126062,4-Dec-2020 15:13:47,-14.4146282526744,4-Dec-2020 15:02:37,08-May-0020 04:53:00,00:11:10,158.474416378737
NaN,05-Dec-2020 13:21:00,Unknown,10-May-0020 18:44:00,05-Dec-0020 13:21:00,0.957375555,5.524874343,NaT,NaT,NaN,NaN,335.948912086431,5-Dec-2020 13:43:23,-144.956570151636,5-Dec-2020 13:36:51,10-May-0020 18:44:00,00:06:32,480.905482238067
NaN,05-Dec-2020 15:22:00,Unknown,11-May-0020 04:35:00,05-Dec-0020 15:22:00,0.858861958,3.404486642,NaT,NaT,NaN,NaN,157.614774891995,5-Dec-2020 15:35:11,-44.3858919940033,5-Dec-2020 15:28:03,11-May-0020 04:35:00,00:07:08,202.000666885998
NaN,06-Dec-2020 14:11:00,Unknown,10-May-0020 18:44:00,06-Dec-0020 14:11:00,0.904350377,4.494710928,NaT,NaT,NaN,NaN,303.687169290389,6-Dec-2020 14:33:47,-40.6028351762666,6-Dec-2020 14:25:00,10-May-0020 18:44:00,00:08:47,344.290004466656
NaN,14-Dec-2020 12:29:00,Unknown,10-May-0020 18:44:00,14-Dec-0020 12:29:00,0.931934607,4.482605486,NaT,NaT,NaN,NaN,179.806733974176,14-Dec-2020 12:51:30,-136.907043124827,14-Dec-2020 12:43:53,10-May-0020 18:44:00,00:07:37,316.713777099003
NaN,15-Dec-2020 11:57:00,Unknown,10-May-0020 18:44:00,15-Dec-0020 11:57:00,0.936969741,3.351751768,NaT,NaT,NaN,NaN,249.300605641127,15-Dec-2020 12:20:08,-96.999063910333,15-Dec-2020 12:12:39,10-May-0020 18:44:00,00:07:29,346.29966955146
NaN,16-Dec-2020 12:01:00,Unknown,10-May-0020 18:44:00,16-Dec-0020 12:01:00,0.916061938,7.01291915,NaT,NaT,NaN,NaN,439.27250922118,16-Dec-2020 12:24:02,-189.383708890233,16-Dec-2020 12:17:01,10-May-0020 18:44:00,00:07:01,628.656218111413
NaN,17-Dec-2020 12:16:00,Unknown,10-May-0020 18:44:00,17-Dec-0020 12:16:00,0.977804623,10.1636462,NaT,NaT,NaN,NaN,643.216171036723,17-Dec-2020 12:38:56,-279.263612592097,17-Dec-2020 12:32:03,10-May-0020 18:44:00,00:06:53,922.479783628819
NaN,18-Dec-2020 13:13:00,Unknown,10-May-0020 18:44:00,18-Dec-0020 13:13:00,0.916382977,4.179746293,NaT,NaT,NaN,NaN,253.122474691721,18-Dec-2020 13:35:42,-129.42091330249,18-Dec-2020 13:28:38,10-May-0020 18:44:00,00:07:04,382.543387994211
