datetime,velocity,velocity_std_dev,back_azimuth,x_coord
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
06-May-2016 04:20:00,1.37633349280375,0.175834578843996,104.957935771967,353.879753984905
06-May-2016 04:30:00,1.39398975837428,0.107567637684725,106.025752799966,350.29343358999
06-May-2016 04:40:00,2.9082618831677,0.152127056732931,103.97980482758,345.438426052412
06-May-2016 04:50:00,0.902738614974871,0.230031075351363,100.632682610976,347.289984609053
06-May-2016 05:00:00,4.2789197267675,0.466757346056046,103.828340440765,340.903584492617
06-May-2016 05:10:00,0.28400163635512,0.24758359435802,106.390600648266,340.849417327749
06-May-2016 05:20:00,2.44246938585316,0.205387956991372,105.646354293412,336.2
06-May-2016 05:30:00,1.11660796855958,0.164507795194366,106.894828437604,334.784688743417
06-May-2016 05:40:00,2.6228618512294,0.21373880818826,107.716793949385,330.211490507933
06-May-2016 05:50:00,1.32538495850656,0.341848307065654,106.131880599572,327.179175624749
06-May-2016 06:00:00,0.984711886123864,0.221948960407178,109.326606196976,325.848650614138
06-May-2016 06:10:00,1.09668050449569,0.405453749230047,109.176811272393,324.574789732566
06-May-2016 06:20:00,2.55485329978315,0.178187714567788,104.674149059767,319.502854231636
06-May-2016 06:30:00,2.23137430026116,0.187194468588102,105.633048752279,315.445290756821
NaT,0,0,0,0
07-May-2016 04:00:00,0.923831364457543,0.47550662844913,96.6192922797731,344.927329144264
07-May-2016 04:10:00,0.982800337159774,0.355214845983096,109.974004901748,344.609491525424
07-May-2016 04:20:00,1.86468942250983,0.15555917788023,112.944177904944,341.630547972837
07-May-2016 04:30:00,1.3202693271931,0.297796668435121,113.624721075085,339.105243264978
07-May-2016 04:40:00,1.33257446120646,0.533808893844996,111.595702715306,336.21
07-May-2016 04:50:00,1.95979412423328,0.236999003607366,115.860453327998,333.483418620686
07-May-2016 05:00:00,1.73685720567811,0.383792080133673,115.118467151,329.192187403238
07-May-2016 05:10:00,1.53979814461934,0.269171287417225,112.531542550414,326.958324682163
07-May-2016 05:20:00,2.33842749379715,0.544980737499698,110.839513653246,322.652081911263
07-May-2016 05:30:00,1.34606433444061,0.444861700652154,104.084136682085,320.711947652885
07-May-2016 05:40:00,2.06958464755756,0.210668258090593,107.863422893276,316.75364164665
07-May-2016 05:50:00,1.88970596658646,0.145040405842023,108.2340759372,313.216501145913
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
09-May-2016 04:20:00,2.90100027491304,0.689508126119045,120.100444192041,359.931624980337
09-May-2016 04:30:00,0.200230524283764,0.116751293479631,105.821747264257,359.05
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
09-May-2016 05:30:00,1.38532389889307,0.254783601348982,114.393061970485,343.92
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
24-May-2016 07:40:00,3.03658039948154,2.29509257127649,87.1180037930639,376.73
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
28-May-2016 07:50:00,2.00680065960145,0.564530781908386,110.007223609769,407.000949620921
28-May-2016 08:00:00,2.40669689542195,0.52635779651449,107.91898920648,403.115376210858
28-May-2016 08:10:00,0.471503518352301,0.289228753679649,111.096234967422,402.013622986405
28-May-2016 08:20:00,0.419625082344449,0.372121091457075,112.68954474232,401.2
28-May-2016 08:30:00,4.21823977605103,0.372724827723656,116.999396734608,393.770689242067
28-May-2016 08:40:00,0.300716221185812,0.190781499637473,112.684122068125,393.76
28-May-2016 08:50:00,2.3010307937753,0.292730631005201,109.98786299445,390.312195278625
28-May-2016 09:00:00,2.03391474252958,0.246823583933271,107.494990731128,386.084607150503
28-May-2016 09:10:00,0.905824190998697,0.383450453583478,109.766373241007,384.180432432432
28-May-2016 09:20:00,1.48579258155104,0.106625265077711,114.063461284856,382.288542280929
28-May-2016 09:30:00,0.497190840732305,0.116226896843862,112.532716362906,382.996008258007
28-May-2016 09:40:00,3.56938990680066,0.222037165167653,112.845970828254,376.247575792761
NaT,0,0,0,0
29-May-2016 03:50:00,2.04585197142651,0.117112946595493,97.2753371845624,323.647942134785
29-May-2016 04:00:00,0.663649074002172,0.292318997903153,95.7904999434969,322.309394219675
29-May-2016 04:10:00,1.55832534677098,0.171814794378137,101.212734225185,319.64769495181
29-May-2016 04:20:00,2.09465332135912,0.24579294671558,101.853014860501,316.698825400166
29-May-2016 04:30:00,1.74151939382099,0.490215508388417,99.249323382536,313.292862727348
29-May-2016 04:40:00,2.52252821986127,0.310261013576703,93.9713404736863,309.128693719388
29-May-2016 04:50:00,1.34155994248376,0.210132522071679,97.5699572870872,307.02
29-May-2016 05:00:00,1.68732831813451,0.237868772787237,97.8606922035842,303.956121651336
29-May-2016 05:10:00,0.143346311523289,0.0898685157797897,95.9343824642769,304.274296016628
29-May-2016 05:20:00,1.19902026041306,0.730395710467401,NaN,300.978546868747
29-May-2016 05:30:00,1.48332118778766,0.253974106177706,96.1437109984521,299.080262746425
29-May-2016 06:10:00,1.92813860700264,0.0902190662707304,96.3540871935034,286.004993176813
NaT,0,0,0,0
NaT,0,0,0,0
NaT,0,0,0,0
