t_otps,z_otps
13-Nov-2019 02:03:00,-0.0522764654238429
13-Nov-2019 03:03:00,-0.0823282637679048
13-Nov-2019 04:03:00,-0.106288800177701
13-Nov-2019 05:03:00,-0.104195851389222
13-Nov-2019 06:03:00,-0.0630194013939649
13-Nov-2019 07:03:00,0.0187954096276533
13-Nov-2019 08:03:00,0.130626435014624
13-Nov-2019 09:03:00,0.252570158939883
13-Nov-2019 10:03:00,0.360387914239474
13-Nov-2019 11:03:00,0.430827433527411
13-Nov-2019 12:03:00,0.446360327939667
13-Nov-2019 13:03:00,0.39900045231882
13-Nov-2019 14:03:00,0.292790324921436
13-Nov-2019 15:03:00,0.144054050428864
13-Nov-2019 16:03:00,-0.0215075942365167
13-Nov-2019 17:03:00,-0.174812797164474
13-Nov-2019 18:03:00,-0.290838462402176
13-Nov-2019 19:03:00,-0.354830769070145
13-Nov-2019 20:03:00,-0.365025720342518
13-Nov-2019 21:03:00,-0.331292869125842
13-Nov-2019 22:03:00,-0.270909838308323
13-Nov-2019 23:03:00,-0.20343041004255
14-Nov-2019 00:03:00,-0.146095374653506
14-Nov-2019 01:03:00,-0.11025665652926
14-Nov-2019 02:03:00,-0.0988574980695703
14-Nov-2019 03:03:00,-0.10539178866486
14-Nov-2019 04:03:00,-0.115241470255302
14-Nov-2019 05:03:00,-0.1099280909668
14-Nov-2019 06:03:00,-0.0734546223463778
14-Nov-2019 07:03:00,0.00154104895812524
14-Nov-2019 08:03:00,0.110423788258656
14-Nov-2019 09:03:00,0.237347394658206
14-Nov-2019 10:03:00,0.359532936241881
14-Nov-2019 11:03:00,0.452998708125735
14-Nov-2019 12:03:00,0.497761816195316
14-Nov-2019 13:03:00,0.481622005863739
14-Nov-2019 14:03:00,0.402583110139209
14-Nov-2019 15:03:00,0.269964903654924
14-Nov-2019 16:03:00,0.103616215661773
14-Nov-2019 17:03:00,-0.0695798732732558
14-Nov-2019 18:03:00,-0.221808721360278
14-Nov-2019 19:03:00,-0.331338492346598
14-Nov-2019 20:03:00,-0.387757603574762
14-Nov-2019 21:03:00,-0.39334257625857
14-Nov-2019 22:03:00,-0.360381537127973
14-Nov-2019 23:03:00,-0.306164624436477
15-Nov-2019 00:03:00,-0.247915016088961
15-Nov-2019 01:03:00,-0.19903832246137
15-Nov-2019 02:03:00,-0.166772865642473
15-Nov-2019 03:03:00,-0.15084021219946
15-Nov-2019 04:03:00,-0.14325103881093
15-Nov-2019 05:03:00,-0.130097008878471
15-Nov-2019 06:03:00,-0.0958511709093405
15-Nov-2019 07:03:00,-0.02927992403994
15-Nov-2019 08:03:00,0.0713776733953837
15-Nov-2019 09:03:00,0.196437553067488
15-Nov-2019 10:03:00,0.326950338262362
15-Nov-2019 11:03:00,0.43983791054939
15-Nov-2019 12:03:00,0.51359964415967
15-Nov-2019 13:03:00,0.532675456921013
15-Nov-2019 14:03:00,0.48998991335423
15-Nov-2019 15:03:00,0.388197086352534
15-Nov-2019 16:03:00,0.239929580963406
15-Nov-2019 17:03:00,0.066479412381498
15-Nov-2019 18:03:00,-0.105925651960621
15-Nov-2019 19:03:00,-0.252060329125836
15-Nov-2019 20:03:00,-0.354014658198501
15-Nov-2019 21:03:00,-0.405231005337475
15-Nov-2019 22:03:00,-0.410544192946211
15-Nov-2019 23:03:00,-0.38261862535988
16-Nov-2019 00:03:00,-0.336901562175329
16-Nov-2019 01:03:00,-0.287329978596396
16-Nov-2019 02:03:00,-0.243730582367189
16-Nov-2019 03:03:00,-0.210487894081019
16-Nov-2019 04:03:00,-0.18583017092891
16-Nov-2019 05:03:00,-0.161941844731753
16-Nov-2019 06:03:00,-0.126855849492408
16-Nov-2019 07:03:00,-0.0686005469657979
16-Nov-2019 08:03:00,0.0194909828135243
16-Nov-2019 09:03:00,0.134721248019753
16-Nov-2019 10:03:00,0.264393637867204
16-Nov-2019 11:03:00,0.388961280574615
16-Nov-2019 12:03:00,0.487273224702037
16-Nov-2019 13:03:00,0.541502471855513
16-Nov-2019 14:03:00,0.540297441689224
16-Nov-2019 15:03:00,0.480265439085954
16-Nov-2019 16:03:00,0.366610077345118
16-Nov-2019 17:03:00,0.213135229911824
16-Nov-2019 18:03:00,0.0408148504607632
16-Nov-2019 19:03:00,-0.125938590979246
16-Nov-2019 20:03:00,-0.264891264931385
16-Nov-2019 21:03:00,-0.361454355583933
16-Nov-2019 22:03:00,-0.411521027949541
16-Nov-2019 23:03:00,-0.420513615251739
17-Nov-2019 00:03:00,-0.399609910238651
17-Nov-2019 01:03:00,-0.361400005951103
17-Nov-2019 02:03:00,-0.316778914612935
17-Nov-2019 03:03:00,-0.273355036062132
17-Nov-2019 04:03:00,-0.234561437219176
17-Nov-2019 05:03:00,-0.198919660419388
17-Nov-2019 06:03:00,-0.160014912052659
17-Nov-2019 07:03:00,-0.108307015305255
17-Nov-2019 08:03:00,-0.0350613175795091
17-Nov-2019 09:03:00,0.0629947060812883
17-Nov-2019 10:03:00,0.180686836751022
17-Nov-2019 11:03:00,0.304770736539676
17-Nov-2019 12:03:00,0.417388332794198
17-Nov-2019 13:03:00,0.500654433769881
17-Nov-2019 14:03:00,0.540326385962731
17-Nov-2019 15:03:00,0.527825015592621
17-Nov-2019 16:03:00,0.461233448651931
17-Nov-2019 17:03:00,0.346052912255969
17-Nov-2019 18:03:00,0.195490938693429
17-Nov-2019 19:03:00,0.0291473395403609
17-Nov-2019 20:03:00,-0.130668711416008
17-Nov-2019 21:03:00,-0.264198620071182
17-Nov-2019 22:03:00,-0.35886693185775
17-Nov-2019 23:03:00,-0.411158074333413
18-Nov-2019 00:03:00,-0.425238785963848
18-Nov-2019 01:03:00,-0.409702887714658
18-Nov-2019 02:03:00,-0.374442033002728
18-Nov-2019 03:03:00,-0.328700266441253
18-Nov-2019 04:03:00,-0.279938399794034
18-Nov-2019 05:03:00,-0.232632264918121
18-Nov-2019 06:03:00,-0.186940623110779
18-Nov-2019 07:03:00,-0.138317953651026
18-Nov-2019 08:03:00,-0.0792577714387201
18-Nov-2019 09:03:00,-0.00307028006503951
18-Nov-2019 10:03:00,0.0920375476980664
18-Nov-2019 11:03:00,0.200812169590076
18-Nov-2019 12:03:00,0.311801546434797
18-Nov-2019 13:03:00,0.410384902495926
18-Nov-2019 14:03:00,0.482123878510671
18-Nov-2019 15:03:00,0.515107334972902
18-Nov-2019 16:03:00,0.501346725182296
18-Nov-2019 17:03:00,0.438077652864724
18-Nov-2019 18:03:00,0.329288908707413
18-Nov-2019 19:03:00,0.186585689316413
18-Nov-2019 20:03:00,0.0279890073342723
18-Nov-2019 21:03:00,-0.125781394181538
18-Nov-2019 22:03:00,-0.256276025750298
18-Nov-2019 23:03:00,-0.351278794297267
19-Nov-2019 00:03:00,-0.406149745322025
19-Nov-2019 01:03:00,-0.4226746899658
19-Nov-2019 02:03:00,-0.406900459882249
19-Nov-2019 03:03:00,-0.367341573386892
19-Nov-2019 04:03:00,-0.31374088781102
19-Nov-2019 05:03:00,-0.255595596808498
19-Nov-2019 06:03:00,-0.19993811519254
19-Nov-2019 07:03:00,-0.1490872222421
19-Nov-2019 08:03:00,-0.0999393781131782
